miR-18a
miR-137
miR-195
miR-7-5p
miR-199a-5p
miR-200b-3p
miR-27a 
miR-3472a
miR-125a
miR-361-5p
miR-370-3p
miR-181a-2-3p
miR-27a
miR-125 
miR-95-3p
miR-29b
miR-21 
miR-199a 
miR-548ar-3p
miR-651-5p
miR-142-3p
miR-21-5p
miR-30e-5p
miR-335
miR-1264
miR‐522
miR‐1290
miR‐586
miR‐29c
miR‐122
miR‐29b
miR‐574‐5p
miR‐100
miR‐130a
miR‐29b‐1
miR‐518c
miR‐186
miR‐22
miR‐542‐3p
miR‐369‐3p
miR‐1294
miR‐211
miR‐365
miR‐598
miR‐325
miR‐454
miR‐573
miR‐1265
miR‐105
miR‐1225‐5p
miR‐1202
miR‐1249
miR-210
miR-21
MiR-29b
miR-107
miR-210
