miR-30b-5p
miR-1275
miR-1275
miR-211-5p
miR-1224
miR-98-5p
miR-494-3p
miR-466c-5p
miR-449a-5p
miR-335
miR-30e-5p
miR-298-3p
miR-20a-5p
miR-190a-5p
miR-19b-3p
miR-137-3p
miR-487a
miR-132
